id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;NORDESTE;2013-02-06 00:00:00;9856.84508333
S;SUL;2013-02-06 00:00:00;11607.4785
SE;SUDESTE;2013-02-06 00:00:00;36463.89466667
N;NORTE;2013-02-07 00:00:00;4055.53791667
NE;NORDESTE;2013-02-07 00:00:00;9782.99508333
S;SUL;2013-02-07 00:00:00;11405.01658333
SE;SUDESTE;2013-02-07 00:00:00;38017.56120833
N;NORTE;2013-02-08 00:00:00;4102.03416667
NE;NORDESTE;2013-02-08 00:00:00;9611.35270833
S;SUL;2013-02-08 00:00:00;11351.26775
SE;SUDESTE;2013-02-08 00:00:00;36248.97504167
N;NORTE;2013-02-09 00:00:00;4012.8775
NE;NORDESTE;2013-02-09 00:00:00;9011.58075
S;SUL;2013-02-09 00:00:00;9917.21891667
SE;SUDESTE;2013-02-09 00:00:00;33281.650125
N;NORTE;2013-02-10 00:00:00;3872.96375
NE;NORDESTE;2013-02-10 00:00:00;8206.11125
S;SUL;2013-02-10 00:00:00;8455.58595833
SE;SUDESTE;2013-02-10 00:00:00;30003.67770833
N;NORTE;2013-02-11 00:00:00;3931.08416667
NE;NORDESTE;2013-02-11 00:00:00;8216.33320833
S;SUL;2013-02-11 00:00:00;10298.172125
SE;SUDESTE;2013-02-11 00:00:00;32602.18391667
N;NORTE;2013-02-12 00:00:00;3848.39958333
NE;NORDESTE;2013-02-12 00:00:00;8314.15545833
S;SUL;2013-02-12 00:00:00;10365.92116667
SE;SUDESTE;2013-02-12 00:00:00;33128.98658333
N;NORTE;2013-02-13 00:00:00;3908.10083333
NE;NORDESTE;2013-02-13 00:00:00;9049.1225
S;SUL;2013-02-13 00:00:00;11677.89125
SE;SUDESTE;2013-02-13 00:00:00;37388.09308333
N;NORTE;2013-02-14 00:00:00;4025.52125
NE;NORDESTE;2013-02-14 00:00:00;9829.61091667
S;SUL;2013-02-14 00:00:00;11985.47816667
SE;SUDESTE;2013-02-14 00:00:00;39439.681
N;NORTE;2013-02-15 00:00:00;4155.42041667
NE;NORDESTE;2013-02-15 00:00:00;9767.75608333
S;SUL;2013-02-15 00:00:00;11742.15791667
SE;SUDESTE;2013-02-15 00:00:00;39908.48504167
N;NORTE;2013-02-16 00:00:00;4047.16125
NE;NORDESTE;2013-02-16 00:00:00;9276.38279167
S;SUL;2013-02-16 00:00:00;10480.97616667
SE;SUDESTE;2013-02-16 00:00:00;36583.79029167
N;NORTE;2013-02-17 00:00:00;3896.56583333
NE;NORDESTE;2013-02-17 00:00:00;8506.91554167
S;SUL;2013-02-17 00:00:00;9077.17979167
SE;SUDESTE;2013-02-17 00:00:00;32917.12958333
N;NORTE;2013-02-18 00:00:00;4186.37208333
NE;NORDESTE;2013-02-18 00:00:00;9413.57970833
S;SUL;2013-02-18 00:00:00;11660.76320833
SE;SUDESTE;2013-02-18 00:00:00;39640.46575
N;NORTE;2013-02-19 00:00:00;4098.7025
NE;NORDESTE;2013-02-19 00:00:00;9545.60533333
S;SUL;2013-02-19 00:00:00;11892.07245833
SE;SUDESTE;2013-02-19 00:00:00;40293.76329167
N;NORTE;2013-02-20 00:00:00;4094.6025
NE;NORDESTE;2013-02-20 00:00:00;9599.76708333
S;SUL;2013-02-20 00:00:00;12060.6085
SE;SUDESTE;2013-02-20 00:00:00;40521.09516667
N;NORTE;2013-02-21 00:00:00;4133.96541667
NE;NORDESTE;2013-02-21 00:00:00;9612.46804167
S;SUL;2013-02-21 00:00:00;11698.99308333
SE;SUDESTE;2013-02-21 00:00:00;40593.84191667
N;NORTE;2013-02-22 00:00:00;4210.00708333
NE;NORDESTE;2013-02-22 00:00:00;9716.86145833
S;SUL;2013-02-22 00:00:00;11578.977875
SE;SUDESTE;2013-02-22 00:00:00;40325.30075
N;NORTE;2013-02-23 00:00:00;4164.76416667
NE;NORDESTE;2013-02-23 00:00:00;9252.80895833
S;SUL;2013-02-23 00:00:00;9953.37454167
SE;SUDESTE;2013-02-23 00:00:00;36006.58279167
N;NORTE;2013-02-24 00:00:00;3920.14041667
NE;NORDESTE;2013-02-24 00:00:00;8465.82045833
S;SUL;2013-02-24 00:00:00;8841.118375
SE;SUDESTE;2013-02-24 00:00:00;32259.1715
N;NORTE;2013-02-25 00:00:00;4143.0
NE;NORDESTE;2013-02-25 00:00:00;9567.78858333
S;SUL;2013-02-25 00:00:00;11714.87429167
SE;SUDESTE;2013-02-25 00:00:00;39210.46604167
N;NORTE;2013-02-26 00:00:00;4195.55625
NE;NORDESTE;2013-02-26 00:00:00;9840.16883333
S;SUL;2013-02-26 00:00:00;11510.89216667
SE;SUDESTE;2013-02-26 00:00:00;40429.19091667
N;NORTE;2013-02-27 00:00:00;4209.3725
NE;NORDESTE;2013-02-27 00:00:00;10014.55833333
S;SUL;2013-02-27 00:00:00;11270.11291667
SE;SUDESTE;2013-02-27 00:00:00;39459.96004167
N;NORTE;2013-02-28 00:00:00;4258.8025
NE;NORDESTE;2013-02-28 00:00:00;9921.478125
S;SUL;2013-02-28 00:00:00;11429.74708333
SE;SUDESTE;2013-02-28 00:00:00;38655.50220833
N;NORTE;2013-03-01 00:00:00;4233.99166667
NE;NORDESTE;2013-03-01 00:00:00;9857.01295833
S;SUL;2013-03-01 00:00:00;11824.39208333
SE;SUDESTE;2013-03-01 00:00:00;37394.96875
N;NORTE;2013-03-02 00:00:00;4096.47291667
NE;NORDESTE;2013-03-02 00:00:00;9251.54554167
S;SUL;2013-03-02 00:00:00;10343.230125
SE;SUDESTE;2013-03-02 00:00:00;33797.4885
N;NORTE;2013-03-03 00:00:00;3961.02541667
NE;NORDESTE;2013-03-03 00:00:00;8569.42275
S;SUL;2013-03-03 00:00:00;8965.559375
SE;SUDESTE;2013-03-03 00:00:00;30981.06275
N;NORTE;2013-03-04 00:00:00;4237.11583333
NE;NORDESTE;2013-03-04 00:00:00;9672.52083333
S;SUL;2013-03-04 00:00:00;11450.53795833
SE;SUDESTE;2013-03-04 00:00:00;38776.01704167
N;NORTE;2013-03-05 00:00:00;4389.805
NE;NORDESTE;2013-03-05 00:00:00;9942.003
S;SUL;2013-03-05 00:00:00;11232.219875
SE;SUDESTE;2013-03-05 00:00:00;40169.74433333
N;NORTE;2013-03-06 00:00:00;4399.51583333
NE;NORDESTE;2013-03-06 00:00:00;10004.5015
S;SUL;2013-03-06 00:00:00;11126.35995833
SE;SUDESTE;2013-03-06 00:00:00;40159.76591667
N;NORTE;2013-03-07 00:00:00;4285.79333333
NE;NORDESTE;2013-03-07 00:00:00;9942.15629167
S;SUL;2013-03-07 00:00:00;11374.5565
SE;SUDESTE;2013-03-07 00:00:00;40519.11254167
N;NORTE;2013-03-08 00:00:00;4308.06291667
NE;NORDESTE;2013-03-08 00:00:00;9919.69308333
S;SUL;2013-03-08 00:00:00;11676.3825
SE;SUDESTE;2013-03-08 00:00:00;40423.16783333
N;NORTE;2013-03-09 00:00:00;4230.22916667
NE;NORDESTE;2013-03-09 00:00:00;9537.56008333
S;SUL;2013-03-09 00:00:00;9800.69383333
SE;SUDESTE;2013-03-09 00:00:00;36922.96483333
N;NORTE;2013-03-10 00:00:00;3965.69541667
NE;NORDESTE;2013-03-10 00:00:00;8807.005
S;SUL;2013-03-10 00:00:00;8130.145375
SE;SUDESTE;2013-03-10 00:00:00;33075.120625
N;NORTE;2013-03-11 00:00:00;4299.81458333
NE;NORDESTE;2013-03-11 00:00:00;10002.29920833
S;SUL;2013-03-11 00:00:00;11104.21575
SE;SUDESTE;2013-03-11 00:00:00;39417.32483333
N;NORTE;2013-03-12 00:00:00;4411.76333333
NE;NORDESTE;2013-03-12 00:00:00;10264.94979167
S;SUL;2013-03-12 00:00:00;11268.56808333
SE;SUDESTE;2013-03-12 00:00:00;40383.555
N;NORTE;2013-03-13 00:00:00;4411.28125
NE;NORDESTE;2013-03-13 00:00:00;10323.94204167
S;SUL;2013-03-13 00:00:00;10864.13433333
SE;SUDESTE;2013-03-13 00:00:00;40441.21075
N;NORTE;2013-03-14 00:00:00;4377.955
NE;NORDESTE;2013-03-14 00:00:00;10247.27058333
S;SUL;2013-03-14 00:00:00;10661.66454167
SE;SUDESTE;2013-03-14 00:00:00;39021.55379167
N;NORTE;2013-03-15 00:00:00;4366.90416667
NE;NORDESTE;2013-03-15 00:00:00;10094.63741667
S;SUL;2013-03-15 00:00:00;10694.96975
SE;SUDESTE;2013-03-15 00:00:00;38356.0725
N;NORTE;2013-03-16 00:00:00;4136.73916667
NE;NORDESTE;2013-03-16 00:00:00;9396.14870833
S;SUL;2013-03-16 00:00:00;9422.0285
SE;SUDESTE;2013-03-16 00:00:00;35299.46045833
N;NORTE;2013-03-17 00:00:00;4091.2325
NE;NORDESTE;2013-03-17 00:00:00;8702.82170833
S;SUL;2013-03-17 00:00:00;7827.53016667
SE;SUDESTE;2013-03-17 00:00:00;31559.26075
N;NORTE;2013-03-18 00:00:00;4356.64333333
NE;NORDESTE;2013-03-18 00:00:00;9863.53241667
S;SUL;2013-03-18 00:00:00;10193.86383333
SE;SUDESTE;2013-03-18 00:00:00;35996.28304167
N;NORTE;2013-03-19 00:00:00;4307.69708333
NE;NORDESTE;2013-03-19 00:00:00;9789.78441667
S;SUL;2013-03-19 00:00:00;10592.278375
SE;SUDESTE;2013-03-19 00:00:00;35820.73275
N;NORTE;2013-03-20 00:00:00;4172.765
NE;NORDESTE;2013-03-20 00:00:00;9799.65183333
S;SUL;2013-03-20 00:00:00;10659.42495833
SE;SUDESTE;2013-03-20 00:00:00;36147.945625
N;NORTE;2013-03-21 00:00:00;4249.88125
NE;NORDESTE;2013-03-21 00:00:00;9864.5665
S;SUL;2013-03-21 00:00:00;10637.94004167
SE;SUDESTE;2013-03-21 00:00:00;36692.57983333
N;NORTE;2013-03-22 00:00:00;4281.70958333
NE;NORDESTE;2013-03-22 00:00:00;9926.09483333
S;SUL;2013-03-22 00:00:00;10803.28629167
SE;SUDESTE;2013-03-22 00:00:00;37693.00604167
N;NORTE;2013-03-23 00:00:00;4234.31291667
